,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
535,314,189550.0,1,2019.0,754,31065,4,0,102,34,450,7.3,29,43
539,260,23240.0,0,2022.0,654,93644,4,0,15,7,131,5.6,27,150
540,271,7400.0,0,2006.0,590,86640,4,0,88,6,109,6.6,28,1
541,235,105330.0,0,2016.0,596,52170,4,0,102,41,510,9.4,23,218
542,64,47440.0,0,2011.0,753,128255,4,1,102,33,420,9.6,4,353
543,274,28650.0,0,2024.0,149,1220,4,1,102,5,101,5.4,28,4
544,337,24180.0,0,2022.0,685,26065,1,1,102,5,101,7.7,30,116
546,53,19820.0,1,2008.0,336,166160,4,0,102,17,250,9.5,2,400
547,133,37840.0,0,2020.0,456,53426,4,0,102,9,181,5.9,9,35
548,366,12970.0,0,2021.0,380,40091,4,1,96,4,73,5.4,30,402
549,288,31480.0,0,2024.0,734,1050,3,0,102,7,131,4.9,28,20
554,260,17170.0,0,2022.0,622,23872,4,1,102,5,101,5.3,27,150
555,281,28480.0,0,2020.0,184,82322,3,0,102,6,131,4.0,28,13
557,346,20980.0,0,2020.0,523,55287,3,0,102,6,116,4.3,30,237
558,241,22220.0,0,2019.0,790,59985,3,0,102,6,116,4.0,24,226
559,278,20880.0,0,2022.0,613,54465,4,1,86,5,100,5.3,28,8
562,116,25090.0,0,2020.0,664,92068,4,0,102,7,131,5.2,6,213
564,346,22560.0,0,2022.0,385,42840,4,0,57,7,140,6.6,30,237
565,396,94280.0,0,2024.0,533,12,3,0,102,7,150,7.8,36,111
566,11,30450.0,0,2021.0,28,87457,3,1,36,6,116,4.4,2,60
569,288,33580.0,0,2024.0,969,1,4,0,64,7,130,5.7,28,20
574,317,213890.0,0,2021.0,35,36285,4,0,98,34,450,9.9,29,46
576,29,47720.0,0,2020.0,971,30815,4,0,102,8,150,5.8,2,295
579,281,23710.0,0,2019.0,756,102132,3,1,102,6,131,4.2,28,13
580,147,20720.0,0,2021.0,369,76406,3,1,102,6,120,5.1,11,393
581,278,25400.0,0,2022.0,601,39668,4,1,102,5,101,5.3,28,8
582,11,39880.0,0,2023.0,815,23518,4,0,86,8,150,5.6,2,60
